Taxa,Actual_Protein,Predicted_Protein,Actual_Oil,Predicted_Oil,Actual_Seedsize,Predicted_Seedsize,Actual_Height,Predicted_Height,Actual_Maturity,Predicted_Maturity
DS11-02156,41.37014251,41.4913321543,23.37536524,22.025600680800004,19.09946995,18.478562958799987,102.0600796,108.83736706429998,1039.24743,1021.2863275249999
DS11-03124,41.82014251,40.95786547829998,22.52536524,21.946021512599994,17.39946995,18.645163705399995,113.8934129,106.69470658120004,1041.414097,1012.9168608690004
DS11-03036,38.5469897,41.66288707249999,21.88239023,21.6395716511,18.78544963,18.525651803400002,110.8404016,103.56240205270005,1005.607434,1014.9218866929998
DS11-05049,39.74834214,40.453046776099974,22.00942843,21.853966151700007,15.89008997,18.28785166699999,98.17373495,105.32369166740007,1000.496322,1012.0510051290003
DS11-03142,42.87014251,41.61765227409999,22.55036524,22.062242841399993,20.34946995,19.61466158449999,110.7267462,109.853016541,1043.74743,1017.0583877070004
DS11-02123,42.24514251,40.8351681043,22.45036524,22.039385650000007,19.84946995,18.587760818699994,104.8613893,105.6945798728,1023.878135,1026.1127655600003
DS11-03066,39.11365637,41.4841099873,21.49905689,21.977091566300004,18.1521163,18.337690281999997,111.2848461,103.6998599127,1002.2741,1016.7663958530002
DS11-02035,39.7469897,40.6042224479,21.69905689,21.801946229199995,17.9021163,17.437260805199998,101.0779955,109.54032899930006,1000.071887,1012.6594969409994
DS11-03160,45.54678084,41.99678409840002,23.11808726,22.450319006499996,21.41187728,18.810855739099996,111.5307582,106.21976288140006,1014.566793,1019.0245399800001
DS11-02163,42.79514251,41.2222209743,21.37536524,21.781548992699996,16.42446995,17.209264752999996,100.8934129,108.81483647049994,1060.655453,1021.9948405180002
DS11-05173,42.47014251,40.711295060199994,22.65036524,22.61165548470001,19.14946995,18.691149420600006,116.4328179,103.05342172860009,1018.878135,1012.6059082280001
DS11-04040,39.48032304,41.1238866459,21.41572356,22.407930239899997,19.38544963,19.504602712600004,101.3959572,100.66475795160004,1005.718545,1016.3458632960002
DS11-04137,42.19514251,40.19649159179999,22.40036524,22.2548063746,19.44946995,17.999386733199998,104.5600796,100.35708986630002,1034.080764,1015.4977029460001
DS11-05155,42.14514251,42.624305728999985,22.47536524,22.283321610600016,16.57446995,17.66398905389999,106.8613893,109.40547748650005,1018.449564,1017.1126051499999
DS11-02164,41.49514251,40.5701595452,23.30036524,22.222860472900006,20.47446995,18.9132276462,111.8934129,109.16471999549998,1039.414097,1018.4867259059997
DS11-02071,38.46365637,41.4537892044,22.28239023,21.934798124699995,17.7021163,18.476292215799994,107.9867959,105.48292292380003,1014.225567,1027.5417423660003
DS11-05118,43.09514251,41.690542085099985,22.10036524,21.89957844120001,17.64946995,18.23099054179999,95.65383115,105.1111995095001,1035.777444,1022.3434380230003
DS11-02095,39.94514251,40.410942261900004,23.45036524,22.085043530800004,17.89946995,18.27233705070001,109.0600796,105.70545897430003,1043.74743,1027.1436341110002
5M20-2-5-2,41.32742912,41.31913213990002,22.25379858,22.220570214999984,18.53017788,18.551266602700046,107.8342922,107.78640225349994,1016.189712,1016.5501160420016
DS11-05021,42.16834214,41.59595787579999,20.66942843,22.0293512943,19.33008997,19.584674023900003,104.7292905,106.28408304660007,1005.718545,1021.5304249430001
DS11-04175,41.84514251,41.071748517,22.65036524,22.410780032000005,20.34946995,19.440264096399996,98.36811686,102.54837277570005,1025.410283,1019.8334077040004
DS11-04163,42.27014251,40.38599361279999,22.15036524,22.081268533100005,19.37446995,17.90052384139999,92.72674624,99.2709131496,1039.580764,1017.75939123
DS11-04059,40.5969897,41.6689901315,21.19905689,22.2569988593,17.88544963,18.6816283091,117.9515127,107.92234689280004,1004.2741,1019.415364084
DS11-04079,38.56365637,40.8069825029,21.41572356,22.175493778800003,18.03544963,18.840180382399996,98.72929051,99.75925192440005,1011.907448,1018.3439906750002
DS11-04127,41.94514251,40.68357088229999,22.87536524,22.247223925599997,18.84946995,18.474560937699994,103.5600796,105.38844748400003,1037.580764,1022.9980057170005
DS11-04099,40.43032304,41.1694606376,21.24905689,22.149696600300004,17.16878296,18.961024598499993,101.7292905,105.46523232600006,1004.051878,1018.4850380069997
DS11-04048,38.5969897,40.88452273830001,21.36572356,22.12405001280001,18.01878296,19.1533169734,108.3959572,106.00012196480009,1005.718545,1013.6210111250008
DS11-02152,42.19514251,41.26952350310001,22.22536524,21.784093992700004,17.02446995,18.035963027099996,113.1471036,108.10469993650004,1026.735278,1026.3242207200003
DS11-05123,42.84514251,41.987810094400004,21.25036524,21.885338274200002,16.14946995,18.265604103100006,100.3681169,104.01278311180002,1037.944111,1021.8080983300001
DS11-05135,43.64514251,41.630939390199984,21.62536524,21.67946939600001,16.24946995,17.468301804299987,105.510974,102.56179460220004,1033.944111,1017.3228567820005
DS11-03075,38.1969897,40.42550931070001,21.96572356,22.208725719999997,19.31878296,19.168066849000002,94.84040162,100.02580734140008,1002.718545,1017.1443341909998
DS11-02167,42.64514251,41.430817639900006,21.97536524,22.0478422424,15.84946995,17.74940527059999,100.7267462,103.34652218390002,1037.414097,1021.0154298059996
DS11-05148,42.32014251,41.4076045242,22.62536524,22.175703473900008,18.87446995,18.338626604199987,98.510974,101.49602026500004,1021.695997,1016.8094024549998
DS11-03110,40.79514251,39.93866654499999,22.95036524,22.5241627205,19.14946995,19.244159255199996,95.06007958,102.72078518110006,1041.080764,1012.2407468410005
DS11-04133,42.92014251,41.42469661299999,21.85036524,22.152833700400006,18.29946995,18.113881298400003,108.2267462,106.20188664049998,1036.74743,1016.1287404250004
DS11-02181,40.39514251,41.07906250180001,23.00036524,22.406411577300002,17.14946995,18.39822039929999,102.7267462,107.54619134659998,1044.080764,1026.2022670330002
DS11-03122,42.37014251,40.979491670899996,22.32536524,21.6741919917,21.17446995,19.544813601799998,118.5600796,109.27948666960006,1042.414097,1019.4711245600001
DS11-05056,40.22834214,40.67513913840001,22.32942843,22.367418568399994,18.77008997,19.1331248448,107.7292905,103.66718754460005,999.7185447,1018.3132921970005
DS11-04119,40.72014251,40.618353460800016,23.25036524,22.1870714115,18.57446995,18.527261337599995,106.3934129,102.6995550694,1036.580764,1015.9629767020001
DS11-04060,40.13032304,41.57437350370001,20.59905689,22.075373857500008,19.73544963,18.714503545699994,113.2848461,107.12910438080003,1012.907448,1020.1438104800005
DS11-05008,38.70834214,40.41039095699998,22.50942843,22.437760676699998,15.49008997,18.049455537799997,91.06262384,102.43349913790001,1008.532448,1012.7626559370001
DS11-05142,43.04514251,41.408887524899995,21.67536524,21.703958329100004,15.72446995,17.95682354489999,95.22525972,104.02474497190008,1037.110777,1011.4590107299996
DS11-04194,41.69514251,41.75414578680001,22.12536524,22.256236432599998,20.02446995,19.068604165999997,106.0824026,103.33403631080004,1020.267426,1022.6682062510004
DS11-04138,42.89514251,41.6414340332,22.05036524,22.0795427139,19.54946995,19.081489940299992,110.3934129,108.23112129960002,1039.74743,1013.7267079070003
DS11-05080,39.26834214,41.07362314270001,21.96942843,22.72524107790001,17.05008997,19.836826194,103.3959572,105.35564342149998,998.9407669,1013.6431857659998
DS11-04170,43.14514251,41.5178902337,22.15036524,22.181631849200006,20.44946995,19.059183128100003,101.3681169,99.31392867320001,1023.410283,1014.9910441160005
DS11-02174,42.77014251,40.7668888671,22.67536524,22.128231251199995,20.24946995,18.402719253199997,107.7267462,106.53201410940004,1039.914097,1020.5412048889999
DS11-02159,41.69514251,41.697003912,22.60036524,22.015309436500004,17.84946995,18.485176181999996,125.3934129,112.56052392600006,1065.855453,1020.8642143820005
DS11-05090,40.24834214,40.6248070689,22.40942843,22.08036385500001,17.07008997,19.281029770100005,102.2848461,108.76818959250004,995.9407669,1017.2106724190003
DS11-02031,39.83032304,40.80386027809998,21.06572356,21.740527224800005,18.56878296,18.4235274677,100.5779955,105.31349934960006,992.9854302,1021.5072556260003
